Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Sao Tome and Principe,STP,148.1916667,150.7916667,153.59375,156.671875,160.1416667,164.0333333,168.4125,173.2260417,178.2520833,183.2052083,187.8875,192.209375,196.24375,200.0791667,203.8822917,207.7489583,211.6885417,215.7145833,219.825,224.0083333,228.2927083
Population density (people per sq. km of land area),EN.POP.DNST,Saudi Arabia,SAU,9.612474357,9.863117938,10.14347278,10.4464574,10.76094041,11.07888812,11.39620736,11.71545153,12.04291549,12.38797361,12.7560104,13.14961273,13.5623769,13.97971708,14.38188902,14.75453484,15.09214957,15.39811926,15.67796147,15.94114919,16.19483135
Population density (people per sq. km of land area),EN.POP.DNST,Senegal,SEN,50.88937308,52.12747104,53.41346284,54.75235028,56.14754064,57.60205163,59.11947229,60.70263336,62.35236067,64.06841531,65.85022074,67.6975744,69.60987898,71.58587753,73.62353919,75.72040721,77.87624786,80.088059,82.34729133,84.64323482,86.96790111
Population density (people per sq. km of land area),EN.POP.DNST,Serbia,SRB,85.94038418,85.79273954,85.71372056,85.53156872,85.33223188,85.076252,84.74238509,84.39948548,84.04095587,83.70463069,83.3688086,82.7132289,82.31279442,81.91324034,81.5295678,81.12717814,80.70343014,80.27507432,79.8376858,79.41041619,78.98723988
Population density (people per sq. km of land area),EN.POP.DNST,Seychelles,SYC,176.3717391,176.526087,182.0065217,179.9586957,179.2934783,180.126087,183.9130435,184.8543478,189.0347826,189.7782609,195.1521739,190.0891304,191.9630435,195.5413043,198.6065217,203.0847826,205.8195652,208.3543478,210.3521739,212.2282609,214.0478261
Population density (people per sq. km of land area),EN.POP.DNST,Sierra Leone,SLE,63.51579385,65.86407592,68.79703519,72.0569964,75.28394292,78.21597395,80.75976725,82.98200333,84.97643392,86.9040593,88.88384594,90.92876143,92.99786644,95.09524799,97.2174148,99.36144361,101.5356886,103.7465641,105.9871017,108.2461485,110.5151704
Population density (people per sq. km of land area),EN.POP.DNST,Singapore,SGP,6011.771642,6176.137313,6186.592593,5989.557496,6047.407837,6191.236575,6342.024496,6602.300719,6913.422857,7125.104286,7231.811966,7363.193182,7524.6983,7636.721358,7714.702398,7806.77292,7908.720733,7915.730606,7952.99859,8044.526093,8019.473907
Population density (people per sq. km of land area),EN.POP.DNST,Sint Maarten (Dutch part),SXM,897.6176471,900,905.2058824,925.6470588,955.5294118,970.9117647,983.5588235,994.4411765,998.9411765,1007,1001.647059,983.3823529,1018.823529,1076.676471,1108.382353,1141.911765,1175.558824,1193.352941,1195.705882,1198.029412,1200.352941
Population density (people per sq. km of land area),EN.POP.DNST,Slovak Republic,SVK,112.0316008,111.8267568,111.7861123,111.6893369,111.6898129,111.7007692,111.7059044,111.7385031,111.8343659,112.006779,112.1088769,112.2605224,112.4517343,112.5726377,112.7006864,112.8031488,112.9533694,113.1287854,113.2855865,113.4389975,113.5363353
Population density (people per sq. km of land area),EN.POP.DNST,Slovenia,SVN,98.75496524,98.91062562,99.03326713,99.09299901,99.15650447,99.32840119,99.64587885,100.2046673,100.3323704,101.2453712,101.6858266,101.8982925,102.1140492,102.2816783,102.3823237,102.4461092,102.5241783,102.6108719,102.9922926,103.7119346,104.295008
Population density (people per sq. km of land area),EN.POP.DNST,Solomon Islands,SLB,14.74330118,15.14644516,15.55677028,15.97056091,16.38260093,16.78878171,17.18778135,17.58245802,17.98377992,18.40593069,18.8589139,19.34698106,19.86659521,20.41189711,20.97459807,21.54816006,22.13068953,22.72347267,23.32461593,23.93072526,24.54012147
Population density (people per sq. km of land area),EN.POP.DNST,Somalia,SOM,14.14264992,14.64392355,15.1454315,15.64608028,16.1479437,16.65262218,17.15800682,17.66206842,18.16748175,18.67837377,19.19833902,19.72822552,20.26889247,20.82397265,21.39760098,21.99318392,22.61235534,23.25559505,23.92359008,24.61648548,25.33429879
Population density (people per sq. km of land area),EN.POP.DNST,South Africa,ZAF,37.06873604,37.56627456,38.04409648,38.51256131,38.98441995,39.46994452,39.97186029,40.49144416,41.03526696,41.61027871,42.22025324,42.86883826,43.55213463,44.25650611,44.96301511,45.65726286,46.33427775,46.99548343,47.64075213,48.27198889,48.89059344
Population density (people per sq. km of land area),EN.POP.DNST,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,15.55542855,16.00327345,16.38524749,16.70189329,16.9563013,17.14155227,17.26541057,17.36894371,17.50533581,17.71361108
Population density (people per sq. km of land area),EN.POP.DNST,Spain,ESP,81.29832465,81.94337639,83.02251924,84.50881393,85.98480508,87.4654972,88.97614934,90.61490052,92.12932237,92.97506517,93.15193096,93.50783588,93.50683713,93.2009456,92.92273645,92.95268592,93.04926296,93.27091015,93.66979208,94.34185906,94.77829717
Population density (people per sq. km of land area),EN.POP.DNST,Sri Lanka,LKA,299.4355924,301.5743422,303.9782491,306.5545527,309.1556849,311.6725881,314.0803221,316.4095679,318.6730027,320.897911,323.1021847,325.2829852,325.7056291,328.2570563,331.3347154,338.8105278,342.5750893,346.468906,350.284495,352.4343722,354.309453
Population density (people per sq. km of land area),EN.POP.DNST,St. Kitts and Nevis,KNA,169.55,171.5461538,173.7230769,175.9576923,178.1653846,180.2,182.05,183.7269231,185.3,186.9192308,188.5038462,190.1615385,191.85,193.5692308,195.2923077,196.9384615,198.5730769,200.1384615,201.6846154,203.2076923,204.5846154
Population density (people per sq. km of land area),EN.POP.DNST,St. Lucia,LCA,256.9459016,259.3180328,261.2983607,263.1639344,265.2803279,267.8819672,271.1114754,274.8262295,278.7065574,282.3327869,285.3967213,287.7672131,289.5967213,290.9918033,292.3065574,293.657377,295.1278689,296.647541,298.1803279,299.6639344,301.0311475
Population density (people per sq. km of land area),EN.POP.DNST,St. Martin (French part),MAF,531.8933824,548.6580882,568.2536765,589.2463235,610.0551471,629.6323529,647.7941176,664.3014706,677.9411765,687.1323529,690.8455882,749.02,740.24,729.16,720.36,717.3,721.22,731.38,745.28,760.04,773.18
Population density (people per sq. km of land area),EN.POP.DNST,St. Vincent and the Grenadines,VCT,276.3769231,276.6487179,277.1666667,277.7487179,278.2564103,278.5051282,278.4666667,278.2461538,277.9512821,277.674359,277.5897436,277.7307692,278.0384615,278.5230769,279.1487179,279.8333333,280.6846154,281.6051282,282.5897436,283.5717949,284.4794872
Population density (people per sq. km of land area),EN.POP.DNST,Sudan,SDN,10.99199349,11.27250897,11.56819802,11.87276207,12.17649633,12.47283664,12.75990177,13.04152028,13.32371508,13.61506215,13.92184434,19.11439197,19.57076596,20.04595656,20.53568497,21.03599785,21.54800278,22.07037546,22.60478579,23.15187997,23.71212932
Population density (people per sq. km of land area),EN.POP.DNST,Suriname,SUR,3.018871795,3.054961538,3.091205128,3.127807692,3.164615385,3.201673077,3.239051282,3.276801282,3.314884615,3.353288462,3.391833333,3.430621795,3.469532051,3.508301282,3.546653846,3.584205128,3.621044872,3.657057692,3.692224359,3.726685897,3.760474359
