Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cambodia,KHM,1.87,..,..,..,..,2.69,..,..,..,..,4.91,..,..,..,..,6.37,..,..,6.64,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cameroon,CMR,6.69,..,..,..,..,7.62,..,..,..,..,8.43,..,..,..,..,6.17,..,..,5.65,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Canada,CAN,..,..,..,..,..,..,..,..,..,..,10.1,..,..,..,..,8.88,..,..,8.94,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Central African Republic,CAF,3.68,..,..,..,..,3.62,..,..,..,..,3.98,..,..,..,..,2.43,..,..,2.38,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Chad,TCD,4.34,..,..,..,..,4.62,..,..,..,..,6.58,..,..,..,..,1.45,..,..,1.37,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Chile,CHL,7.74,..,..,..,..,8.93,..,..,..,..,9.31,..,..,..,..,9.26,..,..,9.07,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,China,CHN,3.81,..,..,..,..,4.02,..,..,..,..,7.07,..,..,..,..,7.15,..,..,7.05,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Colombia,COL,5.58,..,..,..,..,5.41,..,..,..,..,5.04,..,..,..,..,5.78,..,..,5.74,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Comoros,COM,0.19,..,..,..,..,0.44,..,..,..,..,0.25,..,..,..,..,0.88,..,..,0.69,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Congo  Dem. Rep.,COD,0.95,..,..,..,..,0.86,..,..,..,..,1.75,..,..,..,..,2.05,..,..,2,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Congo  Rep.,COG,3.45,..,..,..,..,3.75,..,..,..,..,6.17,..,..,..,..,7.9,..,..,9.27,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Costa Rica,CRI,5.55,..,..,..,..,5.42,..,..,..,..,4.8,..,..,..,..,4.76,..,..,4.87,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Cote d'Ivoire,CIV,7.25,..,..,..,..,3.3,..,..,..,..,2.53,..,..,..,..,2.61,..,..,2.71,..,..
Total alcohol consumption per capita,SH.ALC.PCAP.LI,Croatia,HRV,12.45,..,..,..,..,10.31,..,..,..,..,10.08,..,..,..,..,9.07,..,..,9.23,..,..
