Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Australia,AUS,8.423999786,8.37100029,8.739500046,7.151500225,6.680799961,6.712299824,6.853600025,6.952000141,6.789999962,7.148900032,8.163399696,8.318599701,8.294500351,9.215200424,9.316900253,9.315500259,9.419799805,9.686100006,9.645000458,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Austria,AUT,26.43580055,25.52779961,24.68289948,22.55800056,23.17140007,24.43510056,26.75060081,29.02639961,29.75569916,31.28840065,31.13459969,31.63780022,34.28430176,34.70259857,35.79090118,34.87720108,34.61429977,33.95909882,33.84560013,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Azerbaijan,AZE,2.065099955,1.752099991,2.351200104,2.944099903,3.069999933,3.36439991,2.861000061,3.788199902,3.085799932,3.268599987,4.448999882,3.555799961,2.845299959,2.525899887,2.116600037,2.312200069,1.926800013,1.908800006,1.971300006,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bahamas  The,BHS,0,0.421600014,0.380800009,1.540799975,1.591500044,1.711500049,2.010799885,3.540699959,1.969099998,1.831200004,1.652999997,1.424600005,1.182100058,0.95539999,1.141499996,1.540599942,1.534600019,1.443799973,1.019299984,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bangladesh,BGD,59.02180099,55.79859924,54.33649826,52.65309906,52.1413002,50.79719925,48.9280014,47.51350021,45.63029861,43.72520065,41.0746994,39.47409821,38.63600159,38.69960022,37.28649902,34.21630096,33.53620148,31.60320091,30.70619965,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Barbados,BRB,14.31879997,12.56480026,11.29870033,9.947799683,9.929900169,9.907099724,9.903100014,9.710599899,8.628600121,9.402000427,9.077500343,4.658899784,4.209499836,3.508699894,3.433599949,3.178299904,3.501699924,5.161099911,5.835599899,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Belarus,BLR,5.643700123,6.253900051,6.518899918,6.24630022,6.27120018,6.825200081,7.193099976,7.273600101,7.080200195,7.387599945,7.295700073,7.518499851,7.241600037,6.96999979,6.691999912,6.823999882,6.734499931,7.288599968,7.219799995,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Belgium,BEL,1.443799973,1.580500007,1.681300044,1.888700008,2.022000074,2.458800077,2.822299957,3.337899923,3.905299902,4.827300072,5.824800014,6.630099773,7.758999825,8.092900276,9.124799728,9.376099586,9.206899643,9.637999535,10.6626997,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Belize,BLZ,34.55260086,29.60840034,31.19300079,30.17499924,32.0177002,31.01280022,36.80160141,32.31069946,34.06290054,29.18020058,32.92869949,44.35599899,50.07450104,40.99000168,40.23770142,32.72639847,35.40999985,41.20339966,40.11629868,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Benin,BEN,70.2928009,66.85769653,64.04190063,61.7344017,60.69490051,59.19520187,57.30730057,54.49060059,54.76210022,52.83240128,47.19290161,48.69639969,50.32960129,51.96649933,51.0489006,49.94319916,45.42409897,45.38010025,43.97230148,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bermuda,BMU,0,0,0,0,0,0,0,0.439700007,0.395900011,0.3926,0.418900013,0.421799988,0.436199993,0.477299988,0.425300002,0.486900002,0.462900013,0.481999993,0.380299985,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bhutan,BTN,91.39810181,91.74849701,91.20079803,91.91670227,93.45649719,91.66699982,91.92310333,92.07219696,91.80909729,92.38289642,90.79859924,89.01470184,87.31569672,86.69529724,86.54250336,86.68099976,84.9516983,83.55519867,81.09359741,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bolivia,BOL,29.74379921,29.91160011,28.28420067,26.3125,25.22520065,23.13479996,21.79000092,20.59729958,18.17149925,16.51659966,15.6388998,13.80630016,13.05930042,12.3093996,10.76980019,8.198599815,8.141599655,7.460800171,7.572500229,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bosnia and Herzegovina,BIH,19.3526001,20.2737999,21.21430016,20.14049911,20.09959984,19.73469925,18.12400055,14.84039974,14.27760029,17.43420029,19.56780052,14.15799999,15.27880001,19.47649956,23.67589951,25.27540016,23.02820015,18.51989937,35.40090179,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Botswana,BWA,36.5603981,35.67139816,34.25490189,34.23410034,32.12789917,30.76919937,29.44140053,27.80270004,27.33769989,28.44790077,30.30139923,29.97909927,29.60810089,28.78179932,28.14719963,28.22800064,28.11300087,28.36680031,28.19890022,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Brazil,BRA,42.76399994,41.43610001,42.9715004,45.24840164,45.32030106,46.27059937,46.82400131,47.3348999,47.1814003,49.03850174,46.92419815,45.34329987,43.55110168,42.43130112,41.82920074,43.74060059,45.5766983,45.43640137,47.06169891,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,British Virgin Islands,VGB,1.046499968,1.064599991,1.031100035,0.967000008,0.940500021,0.759299994,0.716199994,0.707400024,0.704999983,0.729600012,0.712700009,0.89139998,0.911000013,0.968299985,1.004099965,1,1.014299989,1.268399954,1.360100031,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Brunei Darussalam,BRN,0,0,0,0,0,0,0,0,0,0,0,0.015799999,0.0148,0.0135,0.014,0.0149,0.0074,0.0109,0.0109,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bulgaria,BGR,7.965300083,7.243500233,8.697299957,9.161600113,9.587100029,9.87349987,9.970399857,8.837400436,9.920499802,11.59780025,14.24059963,13.20320034,15.60319996,18.20639992,17.11720085,17.81990051,17.67300034,17.07999992,19.52750015,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Burkina Faso,BFA,85.40499878,83.67590332,79.34140015,79.07900238,83.52809906,86.54370117,84.61569977,82.42880249,82.93990326,83.59719849,81.45410156,80.57219696,77.17500305,75.42700195,75.24259949,72.71399689,72.26650238,69.08070374,66.96620178,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Burundi,BDI,93.22570038,94.84069824,94.64880371,95.75839996,96.04109955,96.01039886,95.30500031,95.29160309,95.14550018,95.1760025,92.57050323,91.65339661,91.44689941,91.07980347,91.35220337,91.16819763,89.54199982,88.14150238,85.52690125,..,..
