Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Land area (sq. km),AG.LND.TOTL.K2,Czech Republic,CZE,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77220,77220,77210,77220,77210,77200,77200,77200
Land area (sq. km),AG.LND.TOTL.K2,Denmark,DNK,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,40000,40000,40000,40000,40000,40000,40000,40000,40000
Land area (sq. km),AG.LND.TOTL.K2,Djibouti,DJI,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Land area (sq. km),AG.LND.TOTL.K2,Dominica,DMA,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Land area (sq. km),AG.LND.TOTL.K2,Dominican Republic,DOM,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Land area (sq. km),AG.LND.TOTL.K2,Ecuador,ECU,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360
Land area (sq. km),AG.LND.TOTL.K2,Egypt  Arab Rep.,EGY,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
Land area (sq. km),AG.LND.TOTL.K2,El Salvador,SLV,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720,20720
Land area (sq. km),AG.LND.TOTL.K2,Equatorial Guinea,GNQ,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Land area (sq. km),AG.LND.TOTL.K2,Eritrea,ERI,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000,101000
Land area (sq. km),AG.LND.TOTL.K2,Estonia,EST,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470,43470,43470,43470,43470,43470
Land area (sq. km),AG.LND.TOTL.K2,Ethiopia,ETH,1000000,1000000,1000000,1000000,1129264.328,1129317.777,1129314.344,1129287.296,1129272.056,1129270.983,1129253.379,1129208.088,1129209.376,1129212.38,1129225.045,1129272.914,1129304.039,1129279.999,1129300.39,1129300.39,1129300.39
Land area (sq. km),AG.LND.TOTL.K2,Faroe Islands,FRO,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
Land area (sq. km),AG.LND.TOTL.K2,Fiji,FJI,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
Land area (sq. km),AG.LND.TOTL.K2,Finland,FIN,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910,303910,303920,303920,303920,303920
Land area (sq. km),AG.LND.TOTL.K2,France,FRA,547567,547567,547567,547867,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557
Land area (sq. km),AG.LND.TOTL.K2,French Polynesia,PYF,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3520,3520,3520
Land area (sq. km),AG.LND.TOTL.K2,Gabon,GAB,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
Land area (sq. km),AG.LND.TOTL.K2,Gambia  The,GMB,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
Land area (sq. km),AG.LND.TOTL.K2,Georgia,GEO,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490
Land area (sq. km),AG.LND.TOTL.K2,Germany,DEU,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348860,349360,349370,349380,349380,349380
Land area (sq. km),AG.LND.TOTL.K2,Ghana,GHA,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540
Land area (sq. km),AG.LND.TOTL.K2,Gibraltar,GIB,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Land area (sq. km),AG.LND.TOTL.K2,Greece,GRC,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
Land area (sq. km),AG.LND.TOTL.K2,Greenland,GRL,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Land area (sq. km),AG.LND.TOTL.K2,Grenada,GRD,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Land area (sq. km),AG.LND.TOTL.K2,Guam,GUM,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Land area (sq. km),AG.LND.TOTL.K2,Guatemala,GTM,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
